문장번호,문장내용,형태소(품사),형태소(단어만)
11,그저께 춘심이년을 데리고 진고개로 산보를 갔다가 경성우편국 바로 뒷문 맞은편,"[('그저께', 'Noun'), ('추다', 'Verb'), ('심', 'Noun'), ('이', 'Josa'), ('년', 'Noun'), ('을', 'Josa'), ('데리', 'Noun'), ('고', 'Josa'), ('진고개로', 'Noun'), ('산보', 'Noun'), ('를', 'Josa'), ('가다', 'Verb'), ('경성우편국', 'Noun'), ('바로', 'Noun'), ('뒷문', 'Noun'), ('맞은편', 'Noun')]","['그저께', '추다', '심', '년', '데리', '진고개로', '산보', '가다', '경성우편국', '바로', '뒷문', '맞은편']"
12,아따 무어라더냐 그 양약국 앞에 놓아둔 앉은뱅이저울에 올라서본 결과,"[('아따', 'Noun'), ('무어', 'Noun'), ('라', 'Josa'), ('더냐', 'Noun'), ('그', 'Noun'), ('양', 'Modifier'), ('약국', 'Noun'), ('앞', 'Noun'), ('에', 'Josa'), ('놓아두다', 'Verb'), ('앉은뱅이', 'Noun'), ('저울', 'Noun'), ('에', 'Josa'), ('올라서다', 'Verb'), ('보다', 'Verb'), ('결과', 'Noun')]","['아따', '무어', '더냐', '그', '약국', '앞', '놓아두다', '앉은뱅이', '저울', '올라서다', '보다', '결과']"
13,춘심이년이 발견을 했던 것입니다.,"[('추다', 'Verb'), ('심', 'Noun'), ('이', 'Josa'), ('년', 'Noun'), ('이', 'Josa'), ('발견', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('것', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['추다', '심', '년', '발견', '하다', '것', '이다']"
14,이 28관 6백 몸메를,"[('이', 'Noun'), ('28', 'Number'), ('관', 'Noun'), ('6', 'Number'), ('백', 'Noun'), ('몸메', 'Noun'), ('를', 'Josa')]","['이', '관', '백', '몸메']"
15,그런데,"[('그런데', 'Conjunction')]",[]
16,좁쌀계급인 인력거꾼은 그래도 직업적 단련 이란 위대한 것이어서,"[('좁쌀', 'Noun'), ('계급', 'Noun'), ('인', 'Josa'), ('인력거', 'Noun'), ('꾼', 'Suffix'), ('은', 'Josa'), ('그래도', 'Adverb'), ('직업', 'Noun'), ('적', 'Suffix'), ('달다', 'Verb'), ('이란', 'Noun'), ('위대하다', 'Adjective'), ('것', 'Noun'), ('이어서', 'Josa')]","['좁쌀', '계급', '인력거', '직업', '달다', '이란', '위대하다', '것']"
17,젖먹던 힘까지 아끼잖고 겨우겨우 끌어올려 마침내 남대문보다 조금만 작은 솟을대문 앞에 채장을 내려놓곤,"[('젖', 'Noun'), ('먹다', 'Verb'), ('힘', 'Noun'), ('까지', 'Josa'), ('아끼다', 'Verb'), ('겨우', 'Noun'), ('겨우', 'Noun'), ('끌다', 'Verb'), ('올리다', 'Verb'), ('마침내', 'Noun'), ('남대문', 'Noun'), ('보다', 'Josa'), ('조금', 'Noun'), ('만', 'Josa'), ('작다', 'Adjective'), ('솟을대문', 'Noun'), ('앞', 'Noun'), ('에', 'Josa'), ('채', 'Noun'), ('장', 'Suffix'), ('을', 'Josa'), ('내려놓다', 'Verb')]","['젖', '먹다', '힘', '아끼다', '겨우', '겨우', '끌다', '올리다', '마침내', '남대문', '조금', '작다', '솟을대문', '앞', '채', '내려놓다']"
18,무릎에 들였던 담요를 걷기까지에 성공을 했읍니다.,"[('무릎', 'Noun'), ('에', 'Josa'), ('들이다', 'Verb'), ('담요', 'Noun'), ('를', 'Josa'), ('걷기', 'Noun'), ('까지에', 'Josa'), ('성공', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['무릎', '들이다', '담요', '걷기', '성공', '하다', '읍니']"
19,윤직원 영감은 옹색한 좌판에서 가까스로 뒤를 쳐들고,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('옹색', 'Noun'), ('한', 'Josa'), ('좌판', 'Noun'), ('에서', 'Josa'), ('가까스로', 'Noun'), ('뒤', 'Noun'), ('를', 'Josa'), ('치다', 'Verb'), ('들다', 'Verb')]","['윤직', '영감', '옹색', '좌판', '가까스로', '뒤', '치다', '들다']"
20,자칫하면 넘어 박힐 듯싶게 휘뚝휘뚝하는 인력거에서 내려오자니 여간만 옹색하고 조심이 되는 게 아닙니다.,"[('자칫하면', 'Noun'), ('넘다', 'Verb'), ('박히다', 'Verb'), ('듯', 'Noun'), ('싶다', 'Verb'), ('휘뚝휘뚝', 'Adverb'), ('하다', 'Verb'), ('인력거', 'Noun'), ('에서', 'Josa'), ('내려오다', 'Verb'), ('여간', 'Noun'), ('만', 'Josa'), ('옹색', 'Noun'), ('하고', 'Josa'), ('조심', 'Noun'), ('이', 'Josa'), ('되다', 'Verb'), ('게', 'Noun'), ('아니다', 'Adjective'), ('.', 'Punctuation')]","['자칫하면', '넘다', '박히다', '듯', '싶다', '하다', '인력거', '내려오다', '여간', '옹색', '조심', '되다', '게', '아니다']"
21,"""야","[('""', 'Punctuation'), ('야', 'Exclamation')]",[]
22,"이 사람아……!""
 윤직원 영감은 혼자서 내리다 못해 필경 인력거꾼더러 걱정을 합니다.","[('이', 'Noun'), ('사람', 'Noun'), ('아', 'Josa'), ('……!""', 'Punctuation'), ('\n ', 'Foreign'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('혼자', 'Noun'), ('서', 'Josa'), ('내', 'Determiner'), ('리다', 'Noun'), ('못', 'VerbPrefix'), ('하다', 'Verb'), ('필경', 'Noun'), ('인력거', 'Noun'), ('꾼', 'Suffix'), ('더러', 'Josa'), ('걱정', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('.', 'Punctuation')]","['이', '사람', '윤직', '영감', '혼자', '리다', '하다', '필경', '인력거', '걱정', '하다']"
23,"""……좀 부축을 히여 줄 것이지.","[('""……', 'Punctuation'), ('좀', 'Noun'), ('부축', 'Noun'), ('을', 'Josa'), ('히', 'Noun'), ('여', 'Josa'), ('줄', 'Noun'), ('것', 'Noun'), ('이지', 'Josa'), ('.', 'Punctuation')]","['좀', '부축', '히', '줄', '것']"
24,"그냥 그러구 뻐언하니 섰어야 옳담말잉가?""
 실상인즉 뻔히 섰던 것이 아니라","[('그냥', 'Noun'), ('그렇다', 'Adjective'), ('뻐언하', 'Noun'), ('니', 'Josa'), ('서다', 'Verb'), ('옳담말잉', 'Noun'), ('가', 'Josa'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('실상', 'Noun'), ('인즉', 'Josa'), ('뻔하다', 'Adjective'), ('서다', 'Verb'), ('것', 'Noun'), ('이', 'Josa'), ('아니다', 'Adjective')]","['그냥', '그렇다', '뻐언하', '서다', '옳담말잉', '실상', '뻔하다', '서다', '것', '아니다']"
25,가쁜 숨을 돌리면서 땀을 씻고 있었던것이나,"[('가쁜', 'Noun'), ('숨', 'Noun'), ('을', 'Josa'), ('돌리다', 'Verb'), ('땀', 'Noun'), ('을', 'Josa'), ('씻다', 'Verb'), ('있다', 'Adjective')]","['가쁜', '숨', '돌리다', '땀', '씻다', '있다']"
26,인력거꾼은 책망을 듣고 보니 미상불 일이 좀 죄송하게 되어,"[('인력거', 'Noun'), ('꾼', 'Suffix'), ('은', 'Josa'), ('책망', 'Noun'), ('을', 'Josa'), ('듣다', 'Verb'), ('보다', 'Verb'), ('미상불', 'Adverb'), ('일이', 'Modifier'), ('좀', 'Noun'), ('죄송하다', 'Adjective'), ('되어다', 'Verb')]","['인력거', '책망', '듣다', '보다', '좀', '죄송하다', '되어다']"
27,그래얼핏 팔을 붙들어 부축을 해 드립니다.,"[('그래얼핏', 'Noun'), ('팔', 'Noun'), ('을', 'Josa'), ('붙들다', 'Verb'), ('부축', 'Noun'), ('을', 'Josa'), ('해', 'Noun'), ('드리다', 'Verb'), ('.', 'Punctuation')]","['그래얼핏', '팔', '붙들다', '부축', '해', '드리다']"
28,내려선 것을 보니,"[('내다', 'Verb'), ('선', 'Noun'), ('것', 'Noun'), ('을', 'Josa'), ('보다', 'Verb')]","['내다', '선', '것', '보다']"
29,진실로 거판진 체집입니다.,"[('진실로', 'Adverb'), ('거판', 'Noun'), ('진', 'Noun'), ('체집', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['거판', '진', '체집', '이다']"
30,허리를 안아본다면,"[('허리', 'Noun'), ('를', 'Josa'), ('안다', 'Verb'), ('보다', 'Verb')]","['허리', '안다', '보다']"
31,아마 모르면 몰라도 한아름하고도 반은 실히 될까 봅니다.,"[('아마', 'Noun'), ('모르다', 'Verb'), ('모르다', 'Verb'), ('한아름', 'Noun'), ('하고도', 'Josa'), ('반', 'Noun'), ('은', 'Josa'), ('실하다', 'Adjective'), ('되다', 'Verb'), ('보다', 'Verb'), ('.', 'Punctuation')]","['아마', '모르다', '모르다', '한아름', '반', '실하다', '되다', '보다']"
32,그런데다가 키도 알맞게 다섯 자 아홉 치는 넉넉합니다.,"[('그렇다', 'Adjective'), ('키도', 'Noun'), ('알맞다', 'Adjective'), ('다섯', 'Noun'), ('자', 'Noun'), ('아홉', 'Noun'), ('치다', 'Verb'), ('넉넉하다', 'Adjective'), ('.', 'Punctuation')]","['그렇다', '키도', '알맞다', '다섯', '자', '아홉', '치다', '넉넉하다']"
33,얼핏 알아듣  기 쉽게 빗대면,"[('얼핏', 'Noun'), ('알아듣다', 'Verb'), ('기', 'Noun'), ('쉬다', 'Verb'), ('빗대다', 'Verb')]","['얼핏', '알아듣다', '기', '쉬다', '빗대다']"
34,지금 그가 타고 온 인력거가 장난감 같고,"[('지금', 'Noun'), ('그', 'Noun'), ('가', 'Josa'), ('타고', 'Noun'), ('온', 'Noun'), ('인력거', 'Noun'), ('가', 'Josa'), ('장난감', 'Noun'), ('같다', 'Adjective')]","['지금', '그', '타고', '온', '인력거', '장난감', '같다']"
35,그 큰 대문간이 들어서기도 전에 사뭇 그들먹합니다.,"[('그', 'Noun'), ('크다', 'Verb'), ('대문', 'Noun'), ('간', 'Suffix'), ('이', 'Josa'), ('들어서다', 'Verb'), ('전', 'Noun'), ('에', 'Josa'), ('사뭇', 'Noun'), ('그들먹하다', 'Adjective'), ('.', 'Punctuation')]","['그', '크다', '대문', '들어서다', '전', '사뭇', '그들먹하다']"
36,얼굴도 좋습니다.,"[('얼굴', 'Noun'), ('도', 'Josa'), ('좋다', 'Adjective'), ('.', 'Punctuation')]","['얼굴', '좋다']"
37,거금 30여 년 전에,"[('거금', 'Noun'), ('30', 'Number'), ('여', 'Noun'), ('년', 'Noun'), ('전', 'Noun'), ('에', 'Josa')]","['거금', '여', '년', '전']"
38,몇해를 두고 부안(扶安)ㆍ변산(邊山)을 드나들면서 많이 먹은 용(茸)이며 저혈(猪血)ㆍ장혈(獐血)이며,"[('몇', 'Noun'), ('하다', 'Verb'), ('두다', 'Verb'), ('부안', 'Noun'), ('(', 'Punctuation'), ('扶安', 'Foreign'), (')', 'Punctuation'), ('ㆍ', 'Foreign'), ('변산', 'Noun'), ('(', 'Punctuation'), ('邊山', 'Foreign'), (')', 'Punctuation'), ('을', 'Josa'), ('드나들다', 'Verb'), ('많이', 'Adverb'), ('먹다', 'Verb'), ('용', 'Noun'), ('(', 'Punctuation'), ('茸', 'Foreign'), (')', 'Punctuation'), ('이며', 'Josa'), ('저', 'Determiner'), ('혈', 'Noun'), ('(', 'Punctuation'), ('猪血', 'Foreign'), (')', 'Punctuation'), ('ㆍ', 'Foreign'), ('장혈', 'Noun'), ('(', 'Punctuation'), ('獐血', 'Foreign'), (')', 'Punctuation'), ('이며', 'Josa')]","['몇', '하다', '두다', '부안', '변산', '드나들다', '먹다', '용', '혈', '장혈']"
39,또 요새도 장복을 하는 인삼 등속의 약효로 해서 얼굴은 불콰하니 동안(童顔)이요,"[('또', 'Noun'), ('요새', 'Noun'), ('도', 'Josa'), ('장복', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('인삼', 'Noun'), ('등속', 'Noun'), ('의', 'Josa'), ('약효', 'Noun'), ('로', 'Josa'), ('하다', 'Verb'), ('얼굴', 'Noun'), ('은', 'Josa'), ('불콰하', 'Noun'), ('니', 'Josa'), ('동안', 'Noun'), ('(', 'Punctuation'), ('童顔', 'Foreign'), (')', 'Punctuation'), ('이요', 'Noun')]","['또', '요새', '장복', '하다', '인삼', '등속', '약효', '하다', '얼굴', '불콰하', '동안', '이요']"
40,게다가 많지도 적지도 않게 꼬옥 알맞은 수염은 눈같이 희어,"[('게다가', 'Noun'), ('많다', 'Adjective'), ('적지', 'Noun'), ('도', 'Josa'), ('않다', 'Verb'), ('꼬옥', 'Adverb'), ('알맞다', 'Adjective'), ('수염', 'Noun'), ('은', 'Josa'), ('눈', 'Noun'), ('같이', 'Josa'), ('희다', 'Adjective')]","['게다가', '많다', '적지', '않다', '알맞다', '수염', '눈', '희다']"
41,과시 홍안백발의 좋은 풍 신입 니다.,"[('과시', 'Noun'), ('홍안', 'Noun'), ('백', 'Modifier'), ('발의', 'Noun'), ('좋다', 'Adjective'), ('풍', 'Adverb'), ('신입', 'Noun'), ('니다', 'Eomi'), ('.', 'Punctuation')]","['과시', '홍안', '발의', '좋다', '신입']"
42,초리가 길게 째져 올라간 봉의 눈,"[('초', 'Noun'), ('리가', 'Noun'), ('길다', 'Adjective'), ('째다', 'Verb'), ('올라가다', 'Verb'), ('봉', 'Noun'), ('의', 'Josa'), ('눈', 'Noun')]","['초', '리가', '길다', '째다', '올라가다', '봉', '눈']"
43,준수하니 복이 들어보이는 코,"[('준수', 'Noun'), ('하다', 'Verb'), ('복', 'Noun'), ('이', 'Josa'), ('들다', 'Verb'), ('보이다', 'Verb'), ('코', 'Noun')]","['준수', '하다', '복', '들다', '보이다', '코']"
44,뿌리 가추 욱 처진 귀와 큼직한 입모,"[('뿌리', 'Noun'), ('가추', 'Noun'), ('욱', 'Noun'), ('처지다', 'Verb'), ('귀', 'Noun'), ('와', 'Josa'), ('큼직하다', 'Adjective'), ('입모', 'Noun')]","['뿌리', '가추', '욱', '처지다', '귀', '큼직하다', '입모']"
45,다아 수부귀다남자(壽富貴多男子)의 상 입니다.,"[('다', 'Noun'), ('아', 'Josa'), ('수', 'Modifier'), ('부귀', 'Noun'), ('다', 'Josa'), ('남자', 'Noun'), ('(', 'Punctuation'), ('壽富貴多男子', 'Foreign'), (')', 'Punctuation'), ('의', 'Noun'), ('상', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['다', '부귀', '남자', '의', '상', '이다']"
46,나이?…… 올해 일흔두 살입니다.,"[('나이', 'Noun'), ('?……', 'Punctuation'), ('올해', 'Noun'), ('일흔', 'Noun'), ('두', 'Josa'), ('살', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['나이', '올해', '일흔', '살', '이다']"
47,그러나 시삐 여기진 마시오.,"[('그러나', 'Conjunction'), ('시', 'Modifier'), ('삐', 'Noun'), ('여', 'Modifier'), ('기진', 'Noun'), ('말다', 'Verb'), ('.', 'Punctuation')]","['삐', '기진', '말다']"
48,심장 비대증으로 천식(喘息)기가 좀 있어망정이지,"[('심장', 'Noun'), ('비대증', 'Noun'), ('으로', 'Josa'), ('천식', 'Noun'), ('(', 'Punctuation'), ('喘息', 'Foreign'), (')', 'Punctuation'), ('기', 'Noun'), ('가', 'Josa'), ('좀', 'Noun'), ('있다', 'Adjective'), ('망정', 'Noun'), ('이지', 'Josa')]","['심장', '비대증', '천식', '기', '좀', '있다', '망정']"
49,정정한 품이 서른 살 먹은 장정 여대 친답니다.,"[('정정', 'Noun'), ('한', 'Josa'), ('품', 'Noun'), ('이', 'Josa'), ('서른', 'Noun'), ('살', 'Noun'), ('먹다', 'Verb'), ('장정', 'Noun'), ('여대', 'Noun'), ('치다', 'Verb'), ('.', 'Punctuation')]","['정정', '품', '서른', '살', '먹다', '장정', '여대', '치다']"
50,무얼 가지고 겨루든지 말이지요.,"[('무얼', 'Noun'), ('가지', 'Noun'), ('고', 'Josa'), ('겨루다', 'Verb'), ('말다', 'Verb'), ('.', 'Punctuation')]","['무얼', '가지', '겨루다', '말다']"
51,그 차림새가 또한 혼란스럽습니다.,"[('그', 'Noun'), ('차림새', 'Noun'), ('가', 'Josa'), ('또한', 'Noun'), ('혼란', 'Noun'), ('스럽다', 'Adjective'), ('.', 'Punctuation')]","['그', '차림새', '또한', '혼란', '스럽다']"
52,옷은 안팎으로 윤이 지르르 흐르는 모시 진솔 것이요,"[('옷', 'Noun'), ('은', 'Josa'), ('안팎', 'Noun'), ('으로', 'Josa'), ('윤', 'Noun'), ('이', 'Josa'), ('지르르', 'Noun'), ('흐르다', 'Verb'), ('모시', 'Noun'), ('진솔', 'Noun'), ('것', 'Noun'), ('이', 'Suffix'), ('요', 'Josa')]","['옷', '안팎', '윤', '지르르', '흐르다', '모시', '진솔', '것']"
53,머리에는 탕건에 받쳐 죽영(竹纓) 달린 통영 갓( 統營笠[ 통영 립]) 이 날아갈 듯 올라앉았읍니다.,"[('머리', 'Noun'), ('에는', 'Josa'), ('탕건', 'Noun'), ('에', 'Josa'), ('받치다', 'Verb'), ('죽영', 'Noun'), ('(', 'Punctuation'), ('竹纓', 'Foreign'), (')', 'Punctuation'), ('달리다', 'Verb'), ('통영', 'Noun'), ('갓', 'Noun'), ('(', 'Punctuation'), ('統營笠', 'Foreign'), ('[', 'Punctuation'), ('통영', 'Noun'), ('립', 'Noun'), ('])', 'Punctuation'), ('이', 'Noun'), ('날아가다', 'Verb'), ('듯', 'Noun'), ('오르다', 'Verb'), ('앉다', 'Verb'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['머리', '탕건', '받치다', '죽영', '달리다', '통영', '갓', '통영', '립', '이', '날아가다', '듯', '오르다', '앉다', '읍니']"
54,발에는 크막하니 솜을 한 근씩은 두었음직한 흰 버선에,"[('발', 'Noun'), ('에는', 'Josa'), ('크다', 'Verb'), ('막다', 'Verb'), ('솜', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('근씩', 'Noun'), ('은', 'Josa'), ('두다', 'Verb'), ('직하다', 'Adjective'), ('희다', 'Adjective'), ('버선', 'Noun'), ('에', 'Josa')]","['발', '크다', '막다', '솜', '하다', '근씩', '두다', '직하다', '희다', '버선']"
55,운두 새까만 마른 신을 조그맣게 신고,"[('운두', 'Noun'), ('새까맣다', 'Adjective'), ('마르다', 'Adjective'), ('신', 'Noun'), ('을', 'Josa'), ('조그맣다', 'Adjective'), ('신고', 'Noun')]","['운두', '새까맣다', '마르다', '신', '조그맣다', '신고']"
56,바른손에는 은으로 개대가리를 만들어 붙인 화류 개화장이요,"[('바른', 'Modifier'), ('손', 'Noun'), ('에는', 'Josa'), ('은', 'Noun'), ('으로', 'Josa'), ('개', 'Noun'), ('대가리', 'Noun'), ('를', 'Josa'), ('만들다', 'Verb'), ('붙이다', 'Verb'), ('화류', 'Noun'), ('개화', 'Noun'), ('장이', 'Suffix'), ('요', 'Josa')]","['손', '은', '개', '대가리', '만들다', '붙이다', '화류', '개화']"
57,왼손에는 서른네살박이 묵직한 합죽선입니다.,"[('왼손', 'Noun'), ('에는', 'Josa'), ('서른', 'Modifier'), ('네', 'Modifier'), ('살박', 'Noun'), ('이', 'Josa'), ('묵직하다', 'Adjective'), ('합죽선', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['왼손', '살박', '묵직하다', '합죽선', '이다']"
58,이 풍신이야말로 아까울사,"[('이', 'Noun'), ('풍', 'Adverb'), ('신', 'Noun'), ('이야말로', 'Josa'), ('아깝다', 'Adjective')]","['이', '신', '아깝다']"
59,옛날 세상이었더면 일도의 방백( 一道方伯) 일시 분명합니다.,"[('옛날', 'Noun'), ('세상', 'Noun'), ('이다', 'Verb'), ('일도', 'Noun'), ('의', 'Josa'), ('방백', 'Noun'), ('(', 'Punctuation'), ('一道方伯', 'Foreign'), (')', 'Punctuation'), ('일시', 'Noun'), ('분명하다', 'Adjective'), ('.', 'Punctuation')]","['옛날', '세상', '이다', '일도', '방백', '일시', '분명하다']"
60,그런 것을 간혹 입이 비뚤어진 친구는 광대로 인식 착오를 일으키고,"[('그렇다', 'Adjective'), ('것', 'Noun'), ('을', 'Josa'), ('간혹', 'Noun'), ('입', 'Noun'), ('이', 'Josa'), ('비뚤어지다', 'Verb'), ('친구', 'Noun'), ('는', 'Josa'), ('광대', 'Noun'), ('로', 'Josa'), ('인식', 'Noun'), ('착오', 'Noun'), ('를', 'Josa'), ('일으키다', 'Verb')]","['그렇다', '것', '간혹', '입', '비뚤어지다', '친구', '광대', '인식', '착오', '일으키다']"
61,동경ㆍ대판의 사탕장수들은 캬라멜 대장 감으로 침을 삼키니 통탄 할 일입니다.,"[('동경', 'Noun'), ('ㆍ', 'Foreign'), ('대판', 'Noun'), ('의', 'Josa'), ('사탕', 'Noun'), ('장수', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('캬라멜', 'Noun'), ('대장', 'Noun'), ('감', 'Noun'), ('으로', 'Josa'), ('침', 'Noun'), ('을', 'Josa'), ('삼키다', 'Verb'), ('통탄', 'Noun'), ('하다', 'Verb'), ('일', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['동경', '대판', '사탕', '장수', '캬라멜', '대장', '감', '침', '삼키다', '통탄', '하다', '일', '이다']"
62,인력거에서 내려선 윤직원 영감은,"[('인력거', 'Noun'), ('에서', 'Josa'), ('내다', 'Verb'), ('선', 'Noun'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa')]","['인력거', '내다', '선', '윤직', '영감']"
63,저절로 떠억 벌어지는 두루마기 앞섶을 여 미려고 하다가 도로 걷어젖히고서,"[('저절로', 'Noun'), ('뜨다', 'Verb'), ('억', 'Noun'), ('벌어지다', 'Verb'), ('두루마기', 'Noun'), ('앞섶', 'Noun'), ('을', 'Josa'), ('여', 'Noun'), ('미려', 'Noun'), ('고', 'Josa'), ('하다', 'Verb'), ('도로', 'Noun'), ('걷다', 'Verb'), ('젖히다', 'Verb')]","['저절로', '뜨다', '억', '벌어지다', '두루마기', '앞섶', '여', '미려', '하다', '도로', '걷다', '젖히다']"
